timestamp,action_type,action_side,qty
1761080447006,ADD_ORDER,BUY,1
1761080447006,ADD_ORDER,SELL,3
1761080447006,ADD_ORDER,BUY,1
1761080447007,ADD_ORDER,SELL,4
1761080447007,ADD_ORDER,SELL,3
1761080447007,ADD_ORDER,SELL,1
1761080447007,ADD_ORDER,SELL,3
1761080447007,ADD_ORDER,BUY,3
1761080447007,ADD_ORDER,SELL,5
1761080447007,ADD_ORDER,SELL,1
1761080447008,ADD_ORDER,SELL,5
1761080447008,ADD_ORDER,BUY,2
1761080447061,ADD_ORDER,BUY,3
1761080447061,ADD_ORDER,BUY,1
1761080447061,ADD_ORDER,SELL,4
1761080447061,ADD_ORDER,BUY,1
1761080447062,ADD_ORDER,SELL,3
1761080447062,ADD_ORDER,SELL,3
1761080447062,ADD_ORDER,BUY,1
1761080447062,ADD_ORDER,BUY,5
1761080447062,ADD_ORDER,BUY,1
1761080447062,ADD_ORDER,BUY,2
1761080447062,ADD_ORDER,BUY,5
1761080447062,ADD_ORDER,BUY,2
1761080447062,ADD_ORDER,SELL,5
1761080447062,ADD_ORDER,SELL,2
1761080447062,ADD_ORDER,SELL,3
1761080447062,ADD_ORDER,SELL,3
1761080447062,ADD_ORDER,BUY,1
1761080447062,ADD_ORDER,BUY,4
1761080447063,ADD_ORDER,BUY,1
1761080447063,ADD_ORDER,SELL,5
1761080447063,ADD_ORDER,SELL,5
1761080447063,ADD_ORDER,SELL,5
1761080447063,ADD_ORDER,BUY,1
1761080447063,ADD_ORDER,SELL,1
1761080447119,ADD_ORDER,BUY,3
1761080447119,ADD_ORDER,SELL,4
1761080447119,ADD_ORDER,BUY,1
1761080447119,ADD_ORDER,SELL,5
1761080447119,ADD_ORDER,SELL,1
1761080447119,ADD_ORDER,BUY,4
1761080447124,ADD_ORDER,SELL,5
1761080447126,ADD_ORDER,SELL,2
1761080447127,ADD_ORDER,BUY,5
1761080447127,ADD_ORDER,BUY,1
1761080447127,ADD_ORDER,BUY,5
1761080447127,ADD_ORDER,SELL,1
1761080447128,ADD_ORDER,BUY,3
1761080447128,ADD_ORDER,BUY,5
1761080447128,ADD_ORDER,BUY,1
1761080447129,ADD_ORDER,SELL,4
1761080447129,ADD_ORDER,BUY,3
1761080447129,ADD_ORDER,BUY,5
1761080447129,ADD_ORDER,SELL,5
1761080447130,ADD_ORDER,BUY,2
1761080447130,ADD_ORDER,SELL,3
1761080447130,ADD_ORDER,BUY,5
1761080447130,ADD_ORDER,BUY,5
1761080447130,ADD_ORDER,BUY,2
1761080447184,ADD_ORDER,SELL,4
1761080447184,ADD_ORDER,BUY,4
1761080447184,ADD_ORDER,BUY,3
1761080447184,ADD_ORDER,SELL,5
1761080447184,ADD_ORDER,SELL,5
1761080447184,ADD_ORDER,SELL,4
1761080447185,ADD_ORDER,BUY,1
1761080447185,ADD_ORDER,SELL,5
1761080447185,ADD_ORDER,SELL,1
1761080447185,ADD_ORDER,SELL,5
1761080447186,ADD_ORDER,SELL,2
1761080447186,ADD_ORDER,SELL,5
1761080447186,ADD_ORDER,SELL,4
1761080447186,ADD_ORDER,BUY,3
1761080447186,ADD_ORDER,BUY,2
1761080447186,ADD_ORDER,BUY,5
1761080447187,ADD_ORDER,SELL,5
1761080447187,ADD_ORDER,SELL,4
1761080447187,ADD_ORDER,BUY,1
1761080447187,ADD_ORDER,SELL,1
1761080447187,ADD_ORDER,SELL,3
1761080447188,ADD_ORDER,SELL,2
1761080447188,ADD_ORDER,SELL,3
1761080447188,ADD_ORDER,SELL,2
1761080447239,ADD_ORDER,BUY,1
1761080447239,ADD_ORDER,BUY,5
1761080447239,ADD_ORDER,SELL,1
1761080447239,ADD_ORDER,SELL,1
1761080447239,ADD_ORDER,SELL,3
1761080447239,ADD_ORDER,BUY,2
1761080447239,ADD_ORDER,BUY,5
1761080447239,ADD_ORDER,SELL,4
1761080447240,ADD_ORDER,SELL,1
1761080447240,ADD_ORDER,SELL,1
1761080447240,ADD_ORDER,BUY,5
1761080447240,ADD_ORDER,BUY,2
1761080447240,ADD_ORDER,SELL,4
1761080447240,ADD_ORDER,BUY,3
1761080447240,ADD_ORDER,BUY,3
1761080447240,ADD_ORDER,BUY,1
1761080447240,ADD_ORDER,BUY,3
1761080447240,ADD_ORDER,BUY,1
1761080447240,ADD_ORDER,BUY,4
1761080447240,ADD_ORDER,SELL,5
1761080447241,ADD_ORDER,SELL,2
1761080447241,ADD_ORDER,SELL,4
1761080447241,ADD_ORDER,BUY,4
1761080447241,ADD_ORDER,BUY,4
1761080447294,ADD_ORDER,SELL,5
1761080447294,ADD_ORDER,BUY,3
1761080447295,ADD_ORDER,BUY,4
1761080447295,ADD_ORDER,BUY,5
1761080447295,ADD_ORDER,BUY,4
1761080447295,ADD_ORDER,BUY,3
1761080447295,ADD_ORDER,SELL,5
1761080447295,ADD_ORDER,BUY,2
1761080447295,ADD_ORDER,BUY,3
1761080447295,ADD_ORDER,BUY,3
1761080447295,ADD_ORDER,SELL,4
1761080447295,ADD_ORDER,BUY,5
1761080447296,ADD_ORDER,SELL,2
1761080447296,ADD_ORDER,SELL,4
1761080447296,ADD_ORDER,SELL,3
1761080447296,ADD_ORDER,SELL,1
1761080447296,ADD_ORDER,SELL,3
1761080447296,ADD_ORDER,SELL,4
1761080447296,ADD_ORDER,SELL,2
1761080447296,ADD_ORDER,BUY,4
1761080447296,ADD_ORDER,SELL,3
1761080447296,ADD_ORDER,BUY,3
1761080447297,ADD_ORDER,BUY,3
1761080447297,ADD_ORDER,SELL,1
1761080447351,ADD_ORDER,BUY,2
1761080447351,ADD_ORDER,SELL,4
1761080447352,ADD_ORDER,BUY,3
1761080447352,ADD_ORDER,BUY,3
1761080447352,ADD_ORDER,BUY,2
1761080447352,ADD_ORDER,SELL,4
1761080447352,ADD_ORDER,SELL,1
1761080447352,ADD_ORDER,SELL,5
1761080447352,ADD_ORDER,SELL,2
1761080447353,ADD_ORDER,BUY,5
1761080447353,ADD_ORDER,BUY,2
1761080447353,ADD_ORDER,SELL,1
1761080447353,ADD_ORDER,BUY,1
1761080447353,ADD_ORDER,SELL,5
1761080447353,ADD_ORDER,BUY,2
1761080447354,ADD_ORDER,BUY,1
1761080447354,ADD_ORDER,BUY,2
1761080447354,ADD_ORDER,SELL,2
1761080447354,ADD_ORDER,SELL,3
1761080447354,ADD_ORDER,BUY,2
1761080447354,ADD_ORDER,SELL,4
1761080447355,ADD_ORDER,BUY,4
1761080447355,ADD_ORDER,SELL,5
1761080447355,ADD_ORDER,BUY,5
1761080447411,ADD_ORDER,BUY,3
1761080447411,ADD_ORDER,BUY,4
1761080447411,ADD_ORDER,SELL,3
1761080447412,ADD_ORDER,BUY,2
1761080447412,ADD_ORDER,BUY,3
1761080447412,ADD_ORDER,SELL,5
1761080447412,ADD_ORDER,BUY,3
1761080447412,ADD_ORDER,SELL,3
1761080447412,ADD_ORDER,SELL,5
1761080447413,ADD_ORDER,SELL,3
1761080447413,ADD_ORDER,BUY,5
1761080447413,ADD_ORDER,BUY,4
1761080447413,ADD_ORDER,SELL,4
1761080447414,ADD_ORDER,SELL,2
1761080447414,ADD_ORDER,SELL,2
1761080447414,ADD_ORDER,BUY,5
1761080447414,ADD_ORDER,SELL,2
1761080447414,ADD_ORDER,BUY,1
1761080447414,ADD_ORDER,SELL,1
1761080447414,ADD_ORDER,BUY,1
1761080447414,ADD_ORDER,SELL,3
1761080447415,ADD_ORDER,SELL,1
1761080447415,ADD_ORDER,SELL,5
1761080447415,ADD_ORDER,BUY,3
1761080447469,ADD_ORDER,BUY,1
1761080447470,ADD_ORDER,SELL,2
1761080447470,ADD_ORDER,SELL,4
1761080447470,ADD_ORDER,BUY,2
1761080447470,ADD_ORDER,BUY,4
1761080447470,ADD_ORDER,BUY,5
1761080447470,ADD_ORDER,BUY,3
1761080447470,ADD_ORDER,BUY,3
1761080447470,ADD_ORDER,SELL,3
1761080447470,ADD_ORDER,BUY,4
1761080447470,ADD_ORDER,SELL,5
1761080447471,ADD_ORDER,SELL,1
1761080447471,ADD_ORDER,SELL,4
1761080447471,ADD_ORDER,BUY,3
1761080447471,ADD_ORDER,BUY,3
1761080447471,ADD_ORDER,SELL,3
1761080447471,ADD_ORDER,SELL,3
1761080447471,ADD_ORDER,BUY,2
1761080447471,ADD_ORDER,BUY,2
1761080447471,ADD_ORDER,SELL,2
1761080447471,ADD_ORDER,BUY,1
1761080447471,ADD_ORDER,BUY,3
1761080447472,ADD_ORDER,SELL,3
1761080447472,ADD_ORDER,SELL,3
1761080447527,ADD_ORDER,BUY,3
1761080447528,ADD_ORDER,SELL,4
1761080447528,ADD_ORDER,BUY,5
1761080447528,ADD_ORDER,BUY,5
1761080447528,ADD_ORDER,BUY,1
1761080447528,ADD_ORDER,SELL,2
1761080447528,ADD_ORDER,BUY,4
1761080447528,ADD_ORDER,SELL,5
1761080447528,ADD_ORDER,BUY,1
1761080447528,ADD_ORDER,BUY,4
1761080447528,ADD_ORDER,SELL,4
1761080447528,ADD_ORDER,BUY,2
1761080447528,ADD_ORDER,BUY,5
1761080447528,ADD_ORDER,BUY,3
1761080447528,ADD_ORDER,BUY,4
1761080447528,ADD_ORDER,SELL,5
1761080447528,ADD_ORDER,SELL,4
1761080447528,ADD_ORDER,BUY,3
1761080447529,ADD_ORDER,BUY,1
1761080447529,ADD_ORDER,SELL,2
1761080447529,ADD_ORDER,BUY,3
1761080447529,ADD_ORDER,SELL,3
1761080447529,ADD_ORDER,BUY,4
1761080447529,ADD_ORDER,BUY,2
1761080447584,ADD_ORDER,SELL,1
1761080447584,ADD_ORDER,BUY,1
1761080447584,ADD_ORDER,BUY,4
1761080447584,ADD_ORDER,BUY,2
